"DATA for Gaechter, Koelle, Quercia: Reciprocity and the Tragedies of Maintaining and Providing the Commons, Nature Human Behaviour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See README for list of variable labels and Methods for further details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,session,cpp,id,groupid,mg,period,oneshot,strangers,partners,punishment,type,CC,FR,OT,c,b,c_other,lag_c_other,pgsize,pun,pun_received,pc,dev_pc,u,cc0,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20
1,8,1,120,802,802,1,1,0,0,0,3,0,0,1,5,8,3,,15,,,10,-5,15,20,20,8,8,10,10,10,10,10,10,15,15,15,15,15,16,16,17,18,18,18
1,8,1,121,803,803,1,1,0,0,0,3,0,0,1,0,0,19,,58,,,20,-20,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
1,8,1,122,803,803,1,1,0,0,0,1,1,0,0,20,15,13,,58,,,20,0,12,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20,20
1,8,1,123,803,803,1,1,0,0,0,1,1,0,0,18,18,13,,58,,,18,0,17,0,1,2,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8,1,124,803,803,1,1,0,0,0,3,0,0,1,20,15,13,,58,,,5,15,20,0,1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,0
1,8,1,125,804,804,1,1,0,0,0,1,1,0,0,10,12,12,,45,,,12,-2,10,0,2,2,2,4,5,5,7,7,8,9,12,12,14,14,15,15,18,19,20,20
1,8,1,126,804,804,1,1,0,0,0,3,0,0,1,0,4,15,,45,,,1,-1,5,0,0,0,0,1,1,2,2,2,3,3,3,4,4,4,0,0,0,0,0,0
1,8,1,127,804,804,1,1,0,0,0,1,1,0,0,20,15,8,,45,,,15,5,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8,1,128,804,804,1,1,0,0,0,1,1,0,0,15,10,10,,45,,,10,5,18,0,0,2,3,4,5,6,6,8,8,10,10,10,10,12,12,14,16,16,18,20
1,9,1,129,901,901,1,1,0,0,0,3,0,0,1,14,17,13,,54,,,0,14,14,0,0,0,0,0,0,6,5,5,6,6,7,8,9,4,5,1,0,0,0,0
1,9,1,130,901,901,1,1,0,0,0,1,1,0,0,20,10,11,,54,,,10,10,20,5,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,20,20,20,20,20
